"Title","Plane measurement results data"
"Date saved","6/16/2026","8:28 AM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.12,"mm"
"2","Diameter",1.98,"mm"
"3","Diameter",2.07,"mm"
"4","Diameter",2.02,"mm"
"5","Diameter",2.01,"mm"
"6","Diameter",2.13,"mm"
"7","Diameter",2.00,"mm"
"8","Diameter",2.12,"mm"
"9","Diameter",2.09,"mm"
"10","Diameter",2.06,"mm"
"11","Diameter",2.10,"mm"
"12","Diameter",2.07,"mm"
"13","Diameter",2.04,"mm"
"14","Diameter",2.08,"mm"
"15","Diameter",2.09,"mm"
"16","Diameter",1.98,"mm"
"17","Diameter",2.03,"mm"
"18","Diameter",2.12,"mm"
"19","Diameter",2.09,"mm"
"20","Diameter",2.00,"mm"
"21","Diameter",1.97,"mm"
"22","Diameter",1.98,"mm"
"23","Diameter",1.98,"mm"
"24","Diameter",2.01,"mm"
"25","Diameter",2.11,"mm"
"26","Diameter",2.11,"mm"
"27","Diameter",2.05,"mm"
"28","Diameter",2.05,"mm"
"29","Diameter",2.02,"mm"
"30","Diameter",2.04,"mm"
"31","Diameter",1.93,"mm"
"32","Diameter",2.02,"mm"
"33","Diameter",1.99,"mm"
"34","Diameter",2.03,"mm"
"35","Diameter",2.07,"mm"
"36","Diameter",2.00,"mm"
"37","Diameter",1.93,"mm"
"38","Diameter",2.06,"mm"
"39","Diameter",1.99,"mm"
"40","Diameter",2.04,"mm"
"41","Diameter",2.10,"mm"
"42","Diameter",2.03,"mm"
"43","Diameter",2.01,"mm"
"44","Diameter",2.01,"mm"
"45","Diameter",2.06,"mm"
"46","Diameter",2.00,"mm"
"47","Diameter",2.08,"mm"
"48","Diameter",2.04,"mm"
"49","Diameter",2.00,"mm"
"50","Diameter",2.04,"mm"
"51","Diameter",2.00,"mm"
"52","Diameter",2.06,"mm"
"53","Diameter",2.07,"mm"
"54","Diameter",2.05,"mm"
"55","Diameter",2.03,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
