"Title","Plane measurement results data"
"Date saved","6/11/2026","8:31 AM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.25,"mm"
"2","Diameter",2.23,"mm"
"3","Diameter",2.23,"mm"
"4","Diameter",2.18,"mm"
"5","Diameter",2.38,"mm"
"6","Diameter",2.04,"mm"
"7","Diameter",2.12,"mm"
"8","Diameter",2.12,"mm"
"9","Diameter",2.10,"mm"
"10","Diameter",2.26,"mm"
"11","Diameter",2.17,"mm"
"12","Diameter",2.31,"mm"
"13","Diameter",2.22,"mm"
"14","Diameter",2.18,"mm"
"15","Diameter",2.24,"mm"
"16","Diameter",2.22,"mm"
"17","Diameter",2.01,"mm"
"18","Diameter",2.29,"mm"
"19","Diameter",2.24,"mm"
"20","Diameter",2.12,"mm"
"21","Diameter",1.93,"mm"
"22","Diameter",2.10,"mm"
"23","Diameter",2.19,"mm"
"24","Diameter",2.18,"mm"
"25","Diameter",2.22,"mm"
"26","Diameter",2.26,"mm"
"27","Diameter",2.17,"mm"
"28","Diameter",2.03,"mm"
"29","Diameter",2.11,"mm"
"30","Diameter",2.13,"mm"
"31","Diameter",2.25,"mm"
"32","Diameter",2.05,"mm"
"33","Diameter",1.83,"mm"
"34","Diameter",2.13,"mm"
"35","Diameter",2.18,"mm"
"36","Diameter",2.20,"mm"
"37","Diameter",2.05,"mm"
"38","Diameter",1.91,"mm"
"39","Diameter",1.97,"mm"
"40","Diameter",2.11,"mm"
"41","Diameter",1.91,"mm"
"42","Diameter",2.20,"mm"
"43","Diameter",2.09,"mm"
"44","Diameter",2.19,"mm"
"45","Diameter",2.22,"mm"
"46","Diameter",2.18,"mm"
"47","Diameter",2.21,"mm"
"48","Diameter",2.27,"mm"
"49","Diameter",2.20,"mm"
"50","Diameter",2.24,"mm"
"51","Diameter",1.93,"mm"
"52","Diameter",2.28,"mm"
"53","Diameter",2.14,"mm"
"54","Diameter",2.24,"mm"
"55","Diameter",2.00,"mm"
"56","Diameter",2.10,"mm"
"57","Diameter",2.28,"mm"
"58","Diameter",2.10,"mm"
"59","Diameter",2.10,"mm"
"60","Diameter",2.18,"mm"
"61","Diameter",1.98,"mm"
"62","Diameter",2.31,"mm"
"63","Diameter",2.20,"mm"
"64","Diameter",2.25,"mm"
"65","Diameter",2.23,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
